"Sample_ID","Group","Activated B cell","Immature B cell","Memory B cell","Activated CD4 T cell","Activated CD8 T cell","Eosinophil","Macrophage","Mast cell","MDSC","Monocyte","Natural killer cell","Neutrophil","Plasmacytoid dendritic cell","T follicular helper cell","Type 1 T helper cell","Type 17 T helper cell","Type 2 T helper cell","Activated dendritic cell","Regulatory T cell","NK T cell","Immature dendritic cell","Macrophage M1"
"GSM225957","Control",-0.368095185727477,0.0125690099616232,0.0101850538964534,-0.252910887573522,-0.275907173972976,-0.220961828846717,-0.0250628669379473,-0.277776880976869,-0.0217348120768813,-0.11948656818122,-0.18072223135491,-0.264621422873429,-0.241834977740718,-0.38510970765344,-0.312105583355367,-0.435162348112592,-0.469330362426253,-0.0876257355851606,-0.446177589796705,-0.378474827034267,-0.250517377291813,-0.139168744277934
"GSM225958","Control",-0.372372106992818,0.0791544805188998,0.0378967279108285,-0.257693665147866,-0.291014021188365,-0.135062761376273,-0.0437457461843648,-0.36692569114861,0.129988348330475,-0.0307279008837292,-0.0952637662603576,-0.172461540953078,-0.315006364817214,-0.225660556682938,-0.294066290089912,-0.325989904359655,-0.42984662063573,-0.0413182907238443,-0.339340761267846,-0.385764822063837,-0.241372232587433,-0.22748910618486
"GSM225959","Control",-0.377735922802329,0.0523686884235888,0.0319146634706858,-0.261763145019837,-0.268877493278893,-0.216577805457937,-0.0691293540990183,-0.297047036089369,0.030135743014136,-0.128147639694681,-0.231113403755829,-0.238463616108532,-0.275572893120651,-0.387564537364452,-0.38577461604674,-0.556441368941774,-0.465880380578111,-0.0734429526100209,-0.351300001784675,-0.405045635920792,-0.291356125545429,-0.196058432713507
"GSM225961","Control",-0.318727413867711,0.0196957273407711,0.0134259035673321,-0.245163815838206,-0.263822053530005,-0.216145408266667,-0.10243866485456,-0.422977806212293,-0.0299952744226932,-0.12695640992894,-0.171834591879879,-0.272520087449454,-0.162291033923363,-0.377535073420563,-0.33034999128005,-0.423131998075887,-0.420361839090601,-0.0575135463322893,-0.447657186067873,-0.429585443822097,-0.196830012372943,-0.179832189830162
"GSM225962","Control",-0.337061344371503,0.124496105422947,-0.0830111481815174,-0.379041191128396,-0.237164542028509,-0.147238770268477,-0.131886625031366,-0.370239730054204,0.0518849808457165,-0.158438014271696,-0.101305205735181,-0.210189219389417,-0.176389033195193,-0.307422634025656,-0.265089620376855,-0.403839033272168,-0.445449760936371,-0.0454687875305995,-0.473906859923291,-0.393625986251697,-0.355198473356631,-0.163979848213058
"GSM225963","Control",-0.290937182222478,0.16721765666375,-0.00272846456169133,-0.1948990725984,-0.207339798245416,-0.159587807574536,-0.0290308472614189,-0.240040774654952,0.0742224642821661,-0.277042680599428,-0.00903859440911551,-0.142208761486848,-0.211527446288829,-0.205551437496892,-0.269718367572309,-0.451256593831495,-0.344474864635279,-0.131965742663772,-0.380247909679341,-0.517439126404859,-0.208253672669806,-0.135897327687056
"GSM225964","Control",-0.377312787099747,0.112518295773271,-0.0285437656790855,-0.344448283744707,-0.201461772227577,-0.128104301403053,-0.0563159566954717,-0.261981954335855,0.0700671028110083,-0.187686401631451,-0.0437835670267774,-0.167187592343777,-0.156864155207879,-0.234205817210513,-0.276913237469805,-0.495982723121559,-0.346370311295479,-0.063481329576579,-0.564652576029793,-0.522208341723971,-0.195374267271693,-0.213772924638289
"GSM225965","Control",-0.297169374104701,0.263097922275079,0.0195562314743644,-0.277026970850416,-0.255301833282975,-0.166666943729852,-0.0446780770237215,-0.151147273812238,0.121136286167055,-0.101982554956787,0.0909640385472188,-0.166603125956075,-0.155992001130465,-0.347425746129131,-0.298153471962506,-0.474479075695468,-0.389974011934168,-0.0436932513466797,-0.432487253891441,-0.515075254464081,-0.18967107087359,-0.164698154809725
"GSM226034","Control",-0.32274713324559,0.0044774909504984,-0.0550375105097017,-0.267421143432969,-0.23992843651536,-0.235356463338154,-0.175597425367557,-0.287161119811017,0.00743089066448647,-0.357560491954858,-0.16973219136387,-0.269005514622345,-0.233797007488041,-0.279426675058493,-0.3164205696312,-0.413041231685692,-0.41343585917934,-0.0130999859697337,-0.32834300198354,-0.501594828616896,-0.272719102443327,-0.196773694157343
"GSM226035","Control",-0.290901143010447,0.155597285926402,0.0106723861459768,-0.110886823751607,-0.196404582086708,-0.128364466125525,0.0231152651673879,-0.232552195663967,0.158937152252153,0.0243392432976591,-0.178588389692369,-0.166793398741403,-0.301593475444553,-0.230214018002951,-0.32979060416511,-0.402071165270679,-0.307507461259951,-0.1625168451523,-0.358148357989133,-0.347794807860386,-0.154377259134277,-0.106081459008434
