"Sample_ID","Group","CLTC","SLC2A13","SLC7A14","ACP5","RAMP3"
"GSM226039","Control",6.46644745504299,3.81866645806959,6.89444420574249,3.94854167749018,5.21907403893918
"GSM226040","Control",3.94574840382032,4.52795783945469,6.41599537028259,3.93673940095573,0
"GSM226041","Control",4.90822508431702,3.96095979117343,6.32225398779503,3.80625307854921,0
"GSM226042","Control",4.68062293487467,3.98360517115839,6.53466740447271,3.92436880548535,3.05817412301098
"GSM226044","Control",5.91995198011629,2.94671934297126,7.12006474661028,4.03275784437135,3.42600129299882
"GSM226045","Control",0.804925164108853,4.41968050699683,6.67038721922602,4.18188995514104,0
"GSM226046","Control",6.95346516645949,-2.3476664580255,6.22515301451486,0,4.02637819243565
"GSM226047","Control",7.29494815680093,3.60798717044025,6.03053226671324,3.91271192391276,3.77100464552144
"GSM226048","Control",7.8583496650465,4.10533935344519,6.58454709083932,4.4661996861142,4.7780164657203
"GSM226049","Control",9.12491696756401,5.30830482052381,6.05545099483125,0.783906442106314,5.12061824346755
"GSM226050","Control",8.55416809799917,4.39697480517312,6.38786860898087,3.6333628004038,3.13083774898194
"GSM226051","Control",8.02516975394734,2.20218679284712,5.97876102678755,5.16836755963549,4.62912088802368
"GSM226052","Control",7.04259874578535,1.65135795557142,5.92666693950145,3.31565889529603,0
"GSM226053","Control",8.82733889237007,4.22528623910732,6.3578324095293,0,4.15101711343251
"GSM226055","Control",9.77565811479813,3.11476129073593,6.61091279427938,2.50481194352028,0.965716290905216
